pop_est,continent,name,iso_a3,gdp_md_est
23568378.0,Asia,Taiwan,TWN,1127000
60297396.0,Europe,Italy,ITA,2003576
5818553.0,Europe,Denmark,DNK,350104
66834405.0,Europe,United Kingdom,GBR,2829108
361313.0,Europe,Iceland,ISL,24188
10023318.0,Asia,Azerbaijan,AZE,48047
3720382.0,Asia,Georgia,GEO,17477
108116615.0,Asia,Philippines,PHL,376795
31949777.0,Asia,Malaysia,MYS,364681
433285.0,Asia,Brunei,BRN,13469
2087946.0,Europe,Slovenia,SVN,54174
5520314.0,Europe,Finland,FIN,269296
5454073.0,Europe,Slovakia,SVK,105079
10669709.0,Europe,Czechia,CZE,250680
6081196.0,Africa,Eritrea,ERI,2065
126264931.0,Asia,Japan,JPN,5081769
7044636.0,South America,Paraguay,PRY,38145
29161922.0,Asia,Yemen,YEM,22581
34268528.0,Asia,Saudi Arabia,SAU,792966
34268528.0,Asia,Saudi Arabia,SAU,792966
4490.0,Antarctica,Antarctica,ATA,898
326000.0,Asia,N. Cyprus,CYN,3600
1198575.0,Asia,Cyprus,CYP,24948
36471769.0,Africa,Morocco,MAR,119700
100388073.0,Africa,Egypt,EGY,303092
6777452.0,Africa,Libya,LBY,52091
112078730.0,Africa,Ethiopia,ETH,95912
973560.0,Africa,Djibouti,DJI,3324
5096159.0,Africa,Somaliland,SOL,17836
44269594.0,Africa,Uganda,UGA,35165
12626950.0,Africa,Rwanda,RWA,10354
3301000.0,Europe,Bosnia and Herz.,BIH,20164
2083459.0,Europe,North Macedonia,MKD,12547
6944975.0,Europe,Serbia,SRB,51475
622137.0,Europe,Montenegro,MNE,5542
1794248.0,Europe,Kosovo,-99,7926
1394973.0,North America,Trinidad and Tobago,TTO,24269
11062113.0,Africa,S. Sudan,SSD,11998
